package,description
targets,Dynamic Function-Oriented 'Make'-Like Declarative Workflows
TargomoR,Interface to the 'Targomo' API
Tariff,Replicate Tariff Method for Verbal Autopsy
taRifx,Collection of Utility and Convenience Functions
TAShiny,'Text Analyzer Shiny'
tashu,Analysis and Prediction of Bicycle Rental Amount
taskscheduleR,Schedule R Scripts and Processes with the Windows Task Scheduler
tastypie,Easy Pie Charts
tatest,Two-Group Ta-Test
tatoo,Combine and Export Data Frames
tau,Text Analysis Utilities
TauP.R,Earthquake Traveltime Calculations for 1-D Earth Models
TauStar,Efficient Computation and Testing of the Bergsma-Dassios Sign Covariance
tauturri,Get Data Out of 'Tautulli' (Formerly 'PlexPy')
taxa,Taxonomic Classes
taxadb,A High-Performance Local Taxonomic Database Interface
taxalight,A Lightweight and Lightning-Fast Taxonomic Naming Interface
TaxicabCA,Taxicab Correspondence Analysis
taxize,Taxonomic Information from Around the Web
taxizedb,Tools for Working with 'Taxonomic' Databases
taxlist,Handling Taxonomic Lists
taxonomizr,Functions to Work with NCBI Accessions and Taxonomy
Taxonstand,Taxonomic Standardization of Plant Species Names
taxotools,Tools to Handle Taxonomic Lists
tbart,Teitz and Bart's p-Median Algorithm
tbd,Estimation of Causal Effects with Outcomes Truncated by Death
tbdiag,Functions for tuberculosis diagnostics research
TBEST,Tree Branches Evaluated Statistically for Tightness
TBFmultinomial,TBF Methodology Extension for Multinomial Outcomes
tbl2xts,Convert Tibbles or Data Frames to Xts Easily
tbm,Transformation Boosting Machines
tbma,Tree-Based Moving Average Forecasting Model
tboot,Tilted Bootstrap
TBRDist,Rearrangement Distances Between Unrooted Phylogenetic Trees
tbrf,Time-Based Rolling Functions
TBSSurvival,Survival Analysis using a Transform-Both-Sides Model
TCA,Tensor Composition Analysis
tcensReg,MLE of a Truncated Normal Distribution with Censored Data
tcftt,Two-Sample Tests for Skewed Data
TCGAretriever,Retrieve Genomic and Clinical Data from TCGA
TcGSA,Time-Course Gene Set Analysis
tcgsaseq,Time-Course Gene Set Analysis for RNA-Seq Data
tci,Target Controlled Infusion (TCI)
TCIApathfinder,Client for the Cancer Imaging Archive REST API
tcl,Testing in Conditional Likelihood Context
tcltk2,Tcl/Tk Additions
tclust,Robust Trimmed Clustering
Tcomp,Data from the 2010 Tourism Forecasting Competition
tcpl,ToxCast Data Analysis Pipeline
td,Access to the 'twelvedata' Financial Data API
TDA,Statistical Tools for Topological Data Analysis
TDAkit,Toolkit for Topological Data Analysis
TDAmapper,Analyze High-Dimensional Data Using Discrete Morse Theory
TDAstats,Pipeline for Topological Data Analysis
tdaunif,Uniform Manifold Samplers for Topological Data Analysis
TDboost,A Boosted Tweedie Compound Poisson Model
TDCor,Gene Network Inference from Time-Series Transcriptomic Data
TDD,Time-Domain Deconvolution of Seismometer Response
tdigest,"Wicked Fast, Accurate Quantiles Using t-Digests"
TDMR,Tuned Data Mining in R
TDPanalysis,Granier's Sap Flow Sensors (TDP) Analysis
tdr,Target Diagram
tdROC,Nonparametric Estimation of Time-Dependent ROC Curve from Right Censored Survival Data
tdsc,Time Domain Signal Coding
tdthap,TDT Tests for Extended Haplotypes
TE,Insertion/Deletion Dynamics for Transposable Elements
tea,Threshold Estimation Approaches
TeachHist,A Collection of Amended Histograms Designed for Teaching Statistics
teachingApps,"Apps for Teaching Statistics, R Programming, and Shiny App Development"
TeachingDemos,Demonstrations for Teaching and Learning
TeachingSampling,Selection of Samples and Parameter Estimation in Finite Population
TeachNet,Fits Neural Networks to Learn About Backpropagation
tealeaves,Solve for Leaf Temperature Using Energy Balance
TEAM,Multiple Hypothesis Testing on an Aggregation Tree Method
teamcolors,Color Palettes for Pro Sports Teams
teamr,"Send Formatted Messages, Images and Objects to Microsoft 'Teams'"
teda,An Implementation of the Typicality and Eccentricity Data Analysis Framework
teigen,Model-Based Clustering and Classification with the Multivariate t Distribution
Tejapi,API Wrapper for Taiwan Economic Journal Data Service
telefit,Estimation and Prediction for Remote Effects Spatial Process Models
telegram,R Wrapper Around the Telegram Bot API
telegram.bot,Develop a 'Telegram Bot' with R
telemac,R Interface to the TELEMAC Model Suite
TELP,Social Representation Theory Application: The Free Evocation of Words Technique
TempCont,Temporal Contributions on Trends using Mixed Models
tempcyclesdata,Climate Data from Wang and Dillon
tempdisagg,Methods for Temporal Disaggregation and Interpolation of Time Series
temperatureresponse,Temperature Response
templates,A System for Working with Templates
tempoR,Characterizing Temporal Dysregulation
Temporal,Parametric Time to Event Analysis
tempR,Temporal Sensory Data Analysis
Tendril,Compute and Display Tendril Plots
tenispolaR,Provides ZENIT-POLAR Substitution Cipher Method of Encryption
tensor,Tensor product of arrays
tensorA,Advanced Tensor Arithmetic with Named Indices
tensorBF,Bayesian Tensor Factorization
tensorBSS,Blind Source Separation Methods for Tensor-Valued Observations
TensorClustering,Model-Based Tensor Clustering
tensorflow,R Interface to 'TensorFlow'
tensorordinal,Tensor Noise Reduction and Completion Based on Ordinal Observations
tensorr,Sparse Tensors in R
tensorregress,Supervised Tensor Decomposition with Interactive Side Information
tensorsign,Nonparametric Tensor Completion via Sign Series
tensorsparse,Multiway Clustering via Tensor Block Models
TensorTest2D,Fitting Second-Order Tensor Data
tensr,Covariance Inference and Decompositions for Tensor Datasets
TEQR,Target Equivalence Range Design
TERAplusB,Test for A+B Traditional Escalation Rule
tergm,"Fit, Simulate and Diagnose Models for Network Evolution Based on Exponential-Family Random Graph Models"
tergmLite,Fast Simulation of Simple Temporal Exponential Random Graph Models
term,"Create, Manipulate and Query Parameter Terms"
Ternary,Create Ternary Plots
ternvis,"Visualisation, Verification and Calibration of Ternary Probabilistic Forecasts"
terra,Spatial Data Analysis
terrainmeshr,Triangulate and Simplify 3D Terrain Meshes
terrainr,Landscape Visualizations in R and 'Unity'
TESS,Diversification Rate Estimation and Fast Simulation of Reconstructed Phylogenetic Trees under Tree-Wide Time-Heterogeneous Birth-Death Processes Including Mass-Extinction Events
tesseract,Open Source OCR Engine
test2norm,Normative Standards for Cognitive Tests
testassay,A Hypothesis Testing Framework for Validating an Assay for Precision
TestCor,FWER and FDR Controlling Procedures for Multiple Correlation Tests
testcorr,Testing Zero Correlation
TestDataImputation,Missing Item Responses Imputation for Test and Assessment Data
TestDesign,Optimal Test Design Approach to Fixed and Adaptive Test Construction
TestDimorph,Analysis Of The Interpopulation Difference In Degree of Sexual Dimorphism Using Summary Statistics
testDriveR,Teaching Data for Statistics and Data Science
testequavar,"Bootstrap Tests for Equality of 2, 3, or 4 Population Variances"
tester,Tests and checks characteristics of R objects
testforDEP,Dependence Tests for Two Variables
TestFunctions,Test Functions for Simulation Experiments and Evaluating Optimization and Emulation Algorithms
TestingSimilarity,Bootstrap Test for the Similarity of Dose Response Curves Concerning the Maximum Absolute Deviation
testit,A Simple Package for Testing R Packages
TestScorer,GUI for Entering Test Items and Obtaining Raw and Transformed Scores
testthat,Unit Testing for R
testthis,Utils and 'RStudio' Addins to Make Testing Even More Fun
testtwice,Testing One Hypothesis Twice in Observational Studies
tetraclasse,Satisfaction Analysis using Tetraclasse Model and Llosa Matrix
TeXCheckR,Parses LaTeX Documents for Errors
TexExamRandomizer,Personalizes and Randomizes Exams Written in 'LaTeX'
texmex,Statistical Modelling of Extreme Values
TExPosition,Two-Table ExPosition
texPreview,Compile and Preview Snippets of 'LaTeX'
texreg,Conversion of R Regression Output to LaTeX or HTML Tables
text,Analyses of Text using Natural Language Processing and Machine Learning
text.alignment,Text Alignment with Smith-Waterman
text2speech,Text to Speech
text2vec,Modern Text Mining Framework for R
textcat,N-Gram Based Text Categorization
textclean,Text Cleaning Tools
textdata,Download and Load Various Text Datasets
texteffect,Discovering Latent Treatments in Text Corpora and Estimating Their Causal Effects
textfeatures,Extracts Features from Text
TextForecast,Regression Analysis and Forecasting Using Textual Data from a Time-Varying Dictionary
textgRid,Praat TextGrid Objects in R
textile,Textile Images
textir,Inverse Regression for Text Analysis
textmineR,Functions for Text Mining and Topic Modeling
TextMiningGUI,Text Mining GUI Interface
textometry,Textual Data Analysis Package used by the TXM Software
textplot,Text Plots
textrank,Summarize Text by Ranking Sentences and Finding Keywords
textreadr,Read Text Documents into R
textrecipes,Extra 'Recipes' for Text Processing
textreg,"n-Gram Text Regression, aka Concise Comparative Summarization"
textreuse,Detect Text Reuse and Document Similarity
textshape,Tools for Reshaping Text
textshaping,Bindings to the 'HarfBuzz' and 'Fribidi' Libraries for Text Shaping
textstem,Tools for Stemming and Lemmatizing Text
textTinyR,Text Processing for Small or Big Data Files
textTools,Functions for Text Cleansing and Text Analysis
textutils,Utilities for Handling Strings and Text
tfaddons,Interface to 'TensorFlow SIG Addons'
tfarima,Transfer Function and ARIMA Models
tfautograph,Autograph R for 'Tensorflow'
tfCox,Fits Piecewise Polynomial with Data-Adaptive Knots in Cox Model
tfdatasets,Interface to 'TensorFlow' Datasets
tfdeploy,Deploy 'TensorFlow' Models
tfer,Forensic Glass Transfer Probabilities
tfestimators,Interface to 'TensorFlow' Estimators
tfhub,Interface to 'TensorFlow' Hub
tfio,Interface to 'TensorFlow IO'
TFisher,Optimal Thresholding Fisher's P-Value Combination Method
TFMPvalue,Efficient and Accurate P-Value Computation for Position Weight Matrices
tfplot,Time Frame User Utilities
tfprobability,Interface to 'TensorFlow Probability'
tframe,Time Frame Coding Kernel
tframePlus,Time Frame Coding Kernel Extensions
tfruns,Training Run Tools for 'TensorFlow'
tfse,Tools for Script Editing
TFX,R API to TrueFX(tm)
tgamtheme,Globe and Mail Graphics Theme for 'ggplot2'
tgcd,Thermoluminescence Glow Curve Deconvolution
tggd,The Standard Distribution Functions for the Truncated Generalised Gamma Distribution
tgp,Bayesian Treed Gaussian Process Models
tgram,Compute and Plot Tracheidograms
TGS,Rapid Reconstruction of Time-Varying Gene Regulatory Networks
TGST,Targeted Gold Standard Testing
tgstat,Amos Tanay's Group High Performance Statistical Utilities
TH.data,TH's Data Archive
thankr,Find Out Who Maintains the Packages you Use
ThankYouStars,Give your Dependencies Stars on GitHub!
thectar,Hermeneutic Content Analysis
theiaR,Download and Manage Data from Theia
thematic,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and 'base' R Graphics"
themetagenomics,Exploring Thematic Structure and Predicted Functionality of 16s rRNA Amplicon Data
themis,Extra Recipes Steps for Dealing with Unbalanced Data
Thermimage,Thermal Image Analysis
ThermIndex,Calculate Thermal Indexes
thermocouple,"Temperature Measurement with Thermocouples, RTD and IC Sensors"
thgenetics,Genetic Rare Variants Tests
thickmatch,Threshold Matching for Thick Description for Optimal Matching in Observational Studies
thief,Temporal Hierarchical Forecasting
Thinknum,Thinknum Data Connection
thinkr,Tools for Cleaning Up Messy Files
this.path,"Get Executing Script's Path, from 'RStudio', 'RGui', 'Rterm' and 'Rscript' (Command-Line / / Terminal), and When Using 'source'"
thor,Interface to 'LMDB'
thorn,'HTMLwidgets' Displaying Some 'WebGL' Shaders
ThreeArmedTrials,Design and Analysis of Clinical Non-Inferiority or Superiority Trials with Active and Placebo Control
threeboost,Thresholded variable selection and prediction based on estimating equations
threeBrain,3D Brain Visualization
ThreeGroups,ML Estimator for Baseline-Placebo-Treatment (Three-Group) Experiments
threejs,"Interactive 3D Scatter Plots, Networks and Globes"
threesixtygiving,Download Charitable Grants from the '360Giving' Platform
ThreeWay,Three-Way Component Analysis
ThreeWiseMonkeys,"The Japanese Pictorial Maxim ""See No Evil, Hear No Evil, Speak No Evil"""
threewords,Represent Precise Coordinates in Three Words
threg,Threshold Regression
thregI,Threshold Regression for Interval-Censored Data with a Cure Rate Option
Thresher,Threshing and Reaping for Principal Components
ThresholdROC,Optimum Threshold Estimation
